Country,Age,Gender,Education_Level,Income_Quintile,Employment_Status,Urbanicity,Has_Account,Has_Financial_Account,Has_Mobile_Account,Received_Transfers,Owns_Mobile,Has_Internet_Access,Made_Digital_Payment,Paid_Merchant_Digitally
Kenya,18.0,1,1,5,2,1,1,0,1,4,2,2,1,0
Kenya,35.0,1,1,3,1,1,1,0,1,4,1,1,1,0
Kenya,15.0,1,1,5,2,2,1,1,0,4,1,1,0,0
Kenya,35.0,1,2,3,1,1,1,1,1,4,1,1,1,1
Kenya,22.0,2,3,5,1,2,1,1,0,4,1,1,1,1
Kenya,52.0,1,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,33.0,1,2,1,1,1,1,1,1,4,1,2,1,0
Kenya,49.0,1,2,2,1,1,1,1,1,4,1,1,1,0
Kenya,33.0,2,2,5,1,1,1,1,1,1,1,1,1,1
Kenya,36.0,1,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,30.0,1,2,1,1,1,1,0,1,4,1,2,1,0
Kenya,22.0,2,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,30.0,2,2,4,1,1,1,1,1,1,1,1,1,1
Kenya,16.0,2,1,2,2,1,0,0,0,4,1,1,0,0
Kenya,54.0,1,1,3,1,1,0,0,0,4,1,2,0,0
Kenya,22.0,2,2,5,2,2,1,1,1,1,1,1,1,0
Kenya,31.0,2,1,4,1,1,1,0,1,4,1,2,1,0
Kenya,47.0,1,1,2,1,1,0,0,0,4,1,2,0,0
Kenya,35.0,1,1,1,1,2,0,0,0,4,1,1,0,0
Kenya,30.0,1,1,1,1,1,0,0,0,4,2,2,0,0
Kenya,30.0,2,1,3,1,1,1,0,1,4,2,2,1,1
Kenya,26.0,2,2,5,1,1,1,0,1,4,1,1,1,0
Kenya,23.0,2,2,5,1,2,1,0,1,4,1,1,1,1
Kenya,34.0,2,2,3,1,1,1,0,1,4,2,2,1,0
Kenya,21.0,2,2,3,1,1,1,1,1,1,1,1,1,0
Kenya,16.0,1,2,4,2,2,0,0,0,4,2,2,0,0
Kenya,38.0,2,2,1,1,1,1,1,1,4,1,2,1,1
Kenya,18.0,1,2,5,1,2,1,0,1,4,1,1,1,0
Kenya,29.0,2,1,5,1,1,0,0,0,4,2,2,0,0
Kenya,24.0,1,1,2,2,1,1,0,1,4,1,1,1,0
Kenya,31.0,1,2,5,1,1,1,0,1,4,1,1,1,1
Kenya,27.0,2,1,4,1,2,1,0,1,4,1,2,1,1
Kenya,31.0,1,1,2,2,1,0,0,0,4,2,2,0,0
Kenya,30.0,2,2,2,1,1,1,0,1,4,1,1,1,1
Kenya,22.0,1,2,4,1,2,1,1,1,4,1,1,1,1
Kenya,30.0,1,2,4,1,1,1,0,1,4,1,2,1,0
Kenya,29.0,2,2,2,1,2,1,1,1,4,1,1,1,1
Kenya,57.0,1,2,3,1,2,1,1,0,4,1,2,1,0
Kenya,19.0,1,2,3,1,1,1,0,1,4,1,1,1,0
Kenya,45.0,1,2,5,1,2,1,1,1,4,1,1,1,1
