"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Kenya","KEN",169469002,0.561125121764138,1,18,1,5,2,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,1,2,2,1,1,1,2,2,1,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,1,,,2,3,3,3,,1,,0,0,4,4,4,1,4,5,2,2,1,0
"Kenya","KEN",201150421,0.396156985395962,1,35,1,3,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,1,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,2,2,1,2,,,,1,2,2,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,2,1,,0,0,4,4,4,4,4,4,1,1,1,0
"Kenya","KEN",181600977,1.20074424734161,1,15,1,5,2,2,1,1,0,2,2,2,,,2,2,1,2,,2,1,2,2,,2,,,,,,,,,,2,2,1,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,1,,1,0,4,4,4,4,4,5,1,1,0,0
"Kenya","KEN",178264872,1.52540428130708,1,35,2,3,1,1,1,1,1,,,1,2,,1,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,1,1,2,1,1,1,,2,1,2,,,,1,1,1,2,2,1,2,,4,1,1,2,,,,1,1,,,1,1,1,1,,,1,2,1,2,,,1,2,2,,,,,1,1,2,2,1,,1,1,1,1,4,1,,1,1,1,4,4,2,1,1,1,1,1,1
"Kenya","KEN",121649236,0.341817240980233,2,22,3,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,2,,,,2,2,2,2,2,1,1,,2,3,3,1,2,2,2,1,2,2,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,1,1,4,4,4,4,2,4,1,1,1,1
"Kenya","KEN",197053755,1.02290929925477,1,52,2,5,1,1,1,1,1,2,2,2,,,1,1,2,,,,2,,2,,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,1,1,2,,,,2,1,2,1,2,2,1,1,5,3,3,1,2,1,1,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,1,1,,,3,3,3,3,,2,,1,1,4,4,4,1,4,1,1,1,1,1
"Kenya","KEN",161356851,1.20290400021987,1,33,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,,,1,1,2,1,2,,,2,1,2,,,,1,2,1,1,2,2,2,2,5,1,1,1,2,1,1,1,2,2,2,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,1,4,1,,1,1,4,4,4,4,1,2,1,2,1,0
"Kenya","KEN",135180082,0.807147958358587,1,49,2,2,1,1,1,1,1,2,2,1,2,,1,2,2,,,,2,,1,1,1,,,,,,,,,,,,,,,,2,1,2,1,2,,,1,1,2,,,,1,1,1,2,2,2,2,,2,2,2,1,1,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,2,1,,1,0,4,4,4,4,1,1,1,1,1,0
"Kenya","KEN",151310055,0.532079830165309,2,33,2,5,1,1,1,1,1,2,1,1,1,2,1,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,2,1,2,1,1,2,,1,1,1,1,2,,2,1,1,2,2,2,1,,2,2,2,1,2,2,2,1,1,,,1,1,1,2,,,2,,,,,,,1,2,1,1,,,2,,,,,,2,2,3,2,4,1,,1,1,4,1,4,4,1,1,1,1,1,1
"Kenya","KEN",180485170,0.382079869266699,1,36,2,5,1,2,1,1,1,1,2,1,1,1,1,1,2,,,,1,2,1,1,2,,,,,,,,,,,,,,,,1,1,1,1,1,2,,1,1,2,,,,1,1,2,1,1,1,1,1,2,1,1,1,1,,,1,1,,,1,1,1,2,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,1,4,4,4,1,1,1,1,1,1
